run_id,candidate_id,case_id,split,category,schema_score,task_score,exact_score,latency_ms,prompt_tokens,completion_tokens,total_tokens,cost_usd,retry_count,rate_limit_count,failure_class,needs_review
run_81c100990d40,repair,EXT-001,train,clean,1.0,1.0,1.0,0.08030002936720848,,,,0.0,0,0,,False
run_81c100990d40,repair,EXT-002,train,clean,1.0,1.0,1.0,0.08289993274956942,,,,0.0,0,0,,False
run_81c100990d40,repair,EXT-003,train,clean,1.0,1.0,1.0,0.10039994958788157,,,,0.0,0,0,,False
run_81c100990d40,repair,EXT-004,train,missing-field,1.0,1.0,1.0,0.09730004239827394,,,,0.0,0,0,,False
run_81c100990d40,repair,EXT-005,train,unknown-enum,1.0,1.0,1.0,0.05419994704425335,,,,0.0,0,0,,False
run_81c100990d40,repair,EXT-006,train,clean,1.0,1.0,1.0,0.056999968364834785,,,,0.0,0,0,,False
run_81c100990d40,repair,EXT-007,train,missing-field,1.0,1.0,1.0,0.05539995618164539,,,,0.0,0,0,,False
run_81c100990d40,repair,EXT-008,train,clean,1.0,1.0,1.0,0.08510006591677666,,,,0.0,0,0,,False
run_81c100990d40,repair,EXT-009,train,adversarial-text,1.0,1.0,1.0,0.05570007488131523,,,,0.0,0,0,,False
run_81c100990d40,repair,EXT-010,train,clean,1.0,1.0,1.0,0.05439994856715202,,,,0.0,0,0,,False
run_81c100990d40,repair,EXT-011,train,missing-field,1.0,1.0,1.0,0.048900023102760315,,,,0.0,0,0,,False
run_81c100990d40,repair,EXT-012,train,unknown-enum,1.0,1.0,1.0,0.055699958465993404,,,,0.0,0,0,,False
run_81c100990d40,repair,EXT-013,heldout,clean,1.0,1.0,1.0,0.11849997099488974,,,,0.0,0,0,,False
run_81c100990d40,repair,EXT-014,heldout,clean,1.0,1.0,1.0,0.1004999503493309,,,,0.0,0,0,,False
run_81c100990d40,repair,EXT-015,heldout,missing-field,1.0,1.0,1.0,0.10110007133334875,,,,0.0,0,0,,False
run_81c100990d40,repair,EXT-016,heldout,transient-boundary,1.0,1.0,1.0,0.08629995863884687,,,,0.0,1,1,,False
run_81c100990d40,repair,EXT-017,heldout,ambiguous-date,1.0,1.0,1.0,0.07579999510198832,,,,0.0,0,0,,False
run_81c100990d40,repair,EXT-018,heldout,unknown-enum,1.0,1.0,1.0,0.09749992750585079,,,,0.0,0,0,,False
